"iteration","term","estimate","std_error"
37,"lag12",1.12070241948827,0.540622671081454
38,"lag1",4.22606856107598,0.490566769283157
38,"lag2",1.63946304037359,0.606151209818044
38,"lag3",2.56446131960257,0.627551882324872
38,"lag4",-0.0647076364891115,0.535303982008025
38,"lag5",2.35297804780414,0.481402101338991
38,"lag6",7.43465515262457,0.482705614729807
38,"lag7",7.22311513125651,0.505563371728147
38,"lag8",0.846299169178548,0.611463391197651
38,"lag9",1.71821876637825,0.635018743340869
38,"lag10",2.06582957568272,0.537975621565243
38,"lag11",2.45213538672235,0.476808997642345
38,"lag12",2.06715259883191,0.478912453490272
39,"lag1",5.49413215926269,0.488607566096473
39,"lag2",0.195280841784976,0.602989584986071
39,"lag3",4.72816460607369,0.645782202121099
39,"lag4",2.72714053420082,0.553301226553017
39,"lag5",1.71596832334813,0.48564428320401
39,"lag6",1.30431094306234,0.483488169492333
39,"lag7",0.98731112328168,0.501246001024442
39,"lag8",1.47149416406287,0.613101300073999
39,"lag9",0.748819532511188,0.666585368034983
39,"lag10",2.20348399798005,0.557975180414622
39,"lag11",0.451817231878967,0.485181668537782
39,"lag12",1.65549918451645,0.487129408586741
40,"lag1",6.45338555654491,0.55975212831204
40,"lag2",1.86180936171754,0.656394435466854
40,"lag3",4.43395818770643,0.6933977278987
40,"lag4",1.20782185098137,0.608034157040049
40,"lag5",2.2947400252447,0.538992414154256
40,"lag6",4.90721847134182,0.525954312347689
40,"lag7",4.51720640979053,0.574285891627545
40,"lag8",2.71980457811963,0.671796359761271
40,"lag9",1.98375260464345,0.712050378933932
40,"lag10",-0.0373821144227256,0.61543830733504
40,"lag11",1.11029087780464,0.540834387433878
40,"lag12",1.17764509372079,0.524681097428143
41,"lag1",6.53682312592233,0.547144004454082
41,"lag2",1.3796703405828,0.619768077578502
41,"lag3",3.15804418035939,0.661186460455425
41,"lag4",1.55693321515664,0.600700514282313
41,"lag5",1.9171275601837,0.539035808820542
41,"lag6",2.15795019615726,0.532587449538564
41,"lag7",1.53838489965182,0.557240554349374
41,"lag8",2.13019845810709,0.638075368069265
41,"lag9",1.79853234832717,0.668674761285041
41,"lag10",0.386020597633265,0.610938151963623
41,"lag11",0.460579865911683,0.542261371880926
41,"lag12",0.149420937025462,0.534026122380326
42,"lag1",6.95444348649003,0.542803948562035
42,"lag2",1.70439168219887,0.644855679793358
42,"lag3",1.55816899289331,0.671045771983538
42,"lag4",-1.06775440296473,0.60712603893524
42,"lag5",1.64615838043237,0.536703495232711
42,"lag6",7.8888319314843,0.522093765781069
42,"lag7",7.37919352803389,0.551787305900607
42,"lag8",-1.04518604595445,0.661112574957473
42,"lag9",-0.29276727628456,0.688851549238398
42,"lag10",1.30079712428404,0.613834456116642
42,"lag11",1.2344987225794,0.537732447404978
42,"lag12",1.1275312940164,0.524056216609983
43,"lag1",5.13040952863567,0.510946393146989
43,"lag2",0.433756014404321,0.637518603257293
43,"lag3",2.70752581778833,0.64685772913114
43,"lag4",0.630885498646025,0.574742280776148
43,"lag5",1.30526443062062,0.515535573483955
43,"lag6",4.32539070465332,0.494718018575137
43,"lag7",2.62495389591624,0.524178497586825
43,"lag8",-0.988286185329736,0.657753735809885
43,"lag9",-1.7282831695614,0.671363489492178
43,"lag10",-0.190294325715589,0.584410836574812
43,"lag11",0.370275381573053,0.519260378327579
43,"lag12",0.816610214998978,0.498792141285977
44,"lag1",4.90691380131864,0.497472555547017
44,"lag2",0.348351492446751,0.630767192376109
44,"lag3",1.87737787455751,0.651111936439876
44,"lag4",0.036378172363035,0.5437136838774
44,"lag5",2.58295004805892,0.49855311477755
44,"lag6",8.89688234259869,0.489318052865068
44,"lag7",8.43894382286875,0.507166966178697
44,"lag8",1.31822747507519,0.645681334271745
44,"lag9",0.796742704124511,0.663457122100714
